file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
app/engine_analysis/analysis_contract.py,32,impulse_atr_multiplier,2.5,impulse_atr_multiplier,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/analysis_contract.py:32:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/analysis_snapshot_store.py,34,limit,100,limit,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/analysis_snapshot_store.py:34:function_default,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,12,DOJI_BODY_TO_RANGE_MAX,0.1,DOJI_BODY_TO_RANGE_MAX,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:12:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,13,SPINNING_TOP_BODY_TO_RANGE_MAX,0.25,SPINNING_TOP_BODY_TO_RANGE_MAX,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:13:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,14,SMALL_BODY_TO_RANGE_MAX,0.3,SMALL_BODY_TO_RANGE_MAX,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:14:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,15,LARGE_BODY_TO_RANGE_MIN,0.6,LARGE_BODY_TO_RANGE_MIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,16,STRONG_BODY_TO_RANGE_MIN,0.7,STRONG_BODY_TO_RANGE_MIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:16:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,17,EXTENDED_SHADOW_TO_RANGE_MIN,0.55,EXTENDED_SHADOW_TO_RANGE_MIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:17:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,18,NEAR_HIGH_THRESHOLD,0.75,NEAR_HIGH_THRESHOLD,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:18:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/candle_morphology.py,19,NEAR_LOW_THRESHOLD,0.25,NEAR_LOW_THRESHOLD,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/candle_morphology.py:19:assignment,trace behavior authority; no direct YAML reference on this expression
