candidate_id,symbol,setup_type,direction,entry_time,old_score,score_v2,filter_pass,fail_reasons,old_outcome,net_return_pct,split,short_reason
ET-HED-0021,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-11-03T01:15:00Z,82.3325,90.85,PASS,,SL_BEFORE_TP,-0.6586141909246541,OUT_OF_TIME_VALIDATION,causal geometry passed without v2 penalty
ET-HED-0022,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-11-25T16:45:00Z,82.3266,38.65,FAIL,WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.8292097859551503,OUT_OF_TIME_VALIDATION,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0023,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-14T13:00:00Z,82.255,78.2,FAIL,WEAK_CONFIRMATION_VOLUME,TP_BEFORE_SL,0.592345148501666,OUT_OF_TIME_VALIDATION,WEAK_CONFIRMATION_VOLUME
ET-HED-0024,ETHUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-11-05T04:00:00Z,82.0368,0.0,FAIL,TOO_TIGHT_STOP|TARGET_TOO_FAR_WITHOUT_SWING_ANCHOR|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|HIGH_RR_LOW_PROBABILITY|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.8367672181190724,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; TARGET_TOO_FAR; LATE_ENTRY_AFTER_EXHAUSTION
ET-HED-0025,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-25T19:15:00Z,82.0063,59.65,FAIL,TOO_TIGHT_STOP,SL_BEFORE_TP,-0.74198801245981,TRAIN_DESIGN,TOO_TIGHT_STOP
ET-HED-0026,ETHUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-10T10:15:00Z,82.004,50.85,FAIL,WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,1.1409044034848574,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0027,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-08T05:15:00Z,81.9883,77.15,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.6590714500204714,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0028,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-22T18:15:00Z,81.9824,56.55,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,TP_BEFORE_SL,1.118695652173913,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0029,BTCUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-09-18T06:00:00Z,81.9458,23.6,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.3564895875670326,TRAIN_DESIGN,TOO_TIGHT_STOP; LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0030,ETHUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-09T12:15:00Z,81.9434,62.75,FAIL,TOO_TIGHT_STOP,SL_BEFORE_TP,-0.43007221457473,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP
